winnerKf,loserKf,winnerRank,loserRank,court,surface,win
4.5,1.2,186,29,Outdoor,Hard,"[0, 1]"
1.4,3,32,188,Outdoor,Hard,"[1, 0]"
2.37,1.57,260,111,Outdoor,Hard,"[0, 1]"
1.57,2.37,108,101,Outdoor,Hard,"[1, 0]"
1.28,3.75,98,394,Outdoor,Hard,"[0, 1]"
1.66,2.2,18,64,Outdoor,Hard,"[1, 0]"
9,1.07,205,7,Outdoor,Hard,"[0, 1]"
1.28,3.75,38,48,Outdoor,Hard,"[1, 0]"
2,1.8,57,58,Outdoor,Hard,"[0, 1]"
1.02,19,5,88,Outdoor,Hard,"[1, 0]"
2.1,1.72,11,42,Outdoor,Hard,"[0, 1]"
9,1.07,84,90,Outdoor,Hard,"[1, 0]"
10,1.06,1415,135,Outdoor,Hard,"[0, 1]"
1.005,34,1,76,Outdoor,Hard,"[1, 0]"
4.5,1.2,39,50,Outdoor,Hard,"[0, 1]"
1.33,3.4,78,77,Outdoor,Hard,"[1, 0]"
1.33,3.4,46,56,Outdoor,Hard,"[0, 1]"
1.08,8,15,82,Outdoor,Hard,"[1, 0]"
1.3,3.5,62,109,Outdoor,Hard,"[0, 1]"
1.44,2.75,118,97,Outdoor,Hard,"[1, 0]"
